iter	Passed	Remaining
400	23750	44775
401	23806	44710
402	23867	44655
403	23921	44585
404	23970	44508
405	24029	44448
406	24084	44381
407	24133	44303
408	24184	44230
409	24235	44156
410	24297	44102
411	24368	44063
412	24442	44031
413	24509	43986
414	24554	43902
415	24614	43844
416	24668	43776
417	24726	43714
418	24775	43638
419	24836	43581
420	24886	43507
421	24934	43427
422	24988	43361
423	25036	43282
424	25093	43220
425	25140	43140
426	25183	43053
427	25239	42990
428	25290	42917
429	25335	42834
430	25373	42739
431	25421	42663
432	25464	42578
433	25507	42493
434	25551	42409
435	25609	42350
436	25664	42285
437	25720	42222
438	25771	42150
439	25816	42068
440	25876	42012
441	25933	41951
442	25974	41863
443	26023	41790
444	26074	41719
445	26137	41667
446	26179	41583
447	26236	41522
448	26300	41471
449	26361	41416
450	26420	41358
451	26471	41288
452	26526	41223
453	26561	41129
454	26618	41068
455	26673	41004
456	26725	40936
457	26777	40867
458	26834	40806
459	26885	40736
460	26933	40662
461	26998	40614
462	27058	40558
463	27107	40485
464	27148	40400
465	27188	40316
466	27254	40268
467	27303	40196
468	27358	40133
469	27417	40076
470	27482	40027
471	27536	39963
472	27597	39908
473	27660	39857
474	27725	39807
475	27789	39757
476	27848	39700
477	27901	39633
478	27957	39572
479	28004	39498
480	28057	39432
481	28107	39361
482	28165	39303
483	28222	39243
484	28267	39166
485	28321	39101
486	28376	39038
487	28430	38974
488	28482	38908
489	28537	38846
490	28582	38769
491	28636	38706
492	28667	38611
493	28715	38538
494	28768	38474
495	28803	38385
496	28852	38315
497	28908	38253
498	28952	38177
499	29013	38123
500	29068	38061
501	29122	37998
502	29170	37927
503	29227	37867
504	29277	37799
505	29338	37745
506	29391	37681
507	29473	37653
508	29522	37585
509	29568	37511
510	29611	37434
511	29661	37366
512	29715	37304
513	29762	37232
514	29816	37169
515	29865	37100
516	29918	37036
517	29978	36980
518	30018	36901
519	30060	36823
520	30115	36762
521	30158	36686
522	30207	36618
523	30264	36559
524	30314	36492
525	30363	36424
526	30412	36356
527	30470	36298
528	30531	36245
529	30590	36189
530	30642	36125
531	30696	36063
532	30747	35997
533	30806	35941
534	30841	35856
535	30896	35795
536	30939	35721
537	30984	35649
538	31038	35587
539	31082	35514
540	31142	35460
541	31193	35394
542	31248	35333
543	31307	35278
544	31342	35195
545	31400	35138
546	31458	35082
547	31522	35030
548	31581	34975
549	31634	34913
550	31691	34855
551	31725	34772
552	31771	34701
553	31816	34630
554	31877	34577
555	31928	34512
556	31964	34432
557	32009	34361
558	32060	34297
559	32119	34241
560	32164	34171
561	32216	34108
562	32266	34042
563	32323	33985
564	32357	33904
565	32411	33843
566	32463	33780
567	32505	33707
568	32558	33645
569	32600	33572
570	32637	33494
571	32685	33428
572	32738	33367
573	32790	33305
574	32842	33242
575	32886	33172
576	32941	33112
577	32997	33054
578	33055	32998
579	33097	32926
580	33150	32865
581	33197	32798
582	33239	32726
583	33316	32689
584	33372	32631
585	33430	32574
586	33483	32514
587	33528	32445
588	33581	32384
589	33622	32311
590	33685	32260
591	33741	32202
592	33792	32140
593	33848	32082
594	33896	32016
595	33923	31931
596	33971	31865
597	34024	31805
598	34106	31771
599	34156	31708
600	34212	31651
601	34261	31586
602	34312	31524
603	34367	31465
604	34422	31407
605	34472	31343
606	34513	31272
607	34565	31211
608	34624	31156
609	34679	31098
610	34727	31033
611	34774	30967
612	34817	30898
613	34867	30835
614	34922	30777
615	34966	30709
616	35016	30646
617	35070	30587
618	35125	30529
619	35179	30470
620	35229	30407
621	35270	30337
622	35314	30269
623	35358	30202
624	35414	30144
625	35463	30081
626	35519	30024
627	35561	29955
628	35609	29891
629	35663	29833
630	35712	29769
631	35768	29712
632	35827	29658
633	35866	29586
634	35913	29522
635	35970	29466
636	36012	29397
637	36069	29341
638	36123	29283
639	36181	29227
640	36239	29172
641	36289	29110
642	36336	29046
643	36384	28983
644	36436	28922
645	36490	28865
646	36541	28804
647	36601	28749
648	36651	28688
649	36704	28629
650	36754	28567
651	36808	28509
652	36858	28448
653	36899	28380
654	36956	28323
655	37014	28268
656	37070	28212
657	37115	28146
658	37160	28081
659	37207	28018
660	37264	27962
661	37315	27902
662	37370	27844
663	37423	27785
664	37471	27723
665	37519	27660
666	37576	27605
667	37626	27543
668	37682	27487
669	37735	27428
670	37795	27375
671	37846	27314
672	37908	27262
673	37966	27207
674	38011	27142
675	38068	27087
676	38114	27023
677	38164	26962
678	38201	26892
679	38255	26834
680	38316	26781
681	38360	26717
682	38409	26656
683	38461	26596
684	38513	26537
685	38566	26479
686	38609	26413
687	38661	26355
688	38711	26294
689	38760	26233
690	38799	26166
691	38859	26112
692	38901	26046
693	38958	25990
694	39021	25939
695	39072	25880
696	39127	25822
697	39152	25746
698	39200	25684
699	39253	25627
700	39313	25573
701	39361	25512
702	39408	25450
703	39461	25392
704	39530	25344
705	39600	25297
706	39655	25240
707	39714	25186
708	39769	25129
709	39816	25067
710	39869	25009
711	39926	24954
712	39978	24895
713	40027	24835
714	40084	24779
715	40127	24715
716	40184	24660
717	40241	24604
718	40308	24554
719	40364	24499
720	40418	24441
721	40474	24385
722	40531	24330
723	40585	24272
724	40638	24214
725	40677	24149
726	40732	24092
727	40776	24029
728	40820	23965
729	40874	23908
730	40919	23846
731	40963	23783
732	41017	23726
733	41060	23663
734	41107	23602
735	41163	23546
736	41211	23485
737	41269	23430
738	41326	23375
739	41373	23314
740	41428	23258
741	41492	23206
742	41547	23150
743	41586	23085
744	41629	23021
745	41676	22961
746	41724	22900
747	41776	22842
748	41831	22786
749	41880	22726
750	41929	22667
751	41985	22611
752	42036	22553
753	42087	22494
754	42140	22437
755	42192	22379
756	42235	22317
757	42290	22261
758	42335	22199
759	42380	22138
760	42434	22081
761	42480	22020
762	42535	21964
763	42597	21912
764	42652	21856
765	42711	21801
766	42779	21752
767	42843	21700
768	42902	21646
769	42965	21594
770	43014	21535
771	43076	21482
772	43125	21423
773	43189	21371
774	43249	21317
775	43303	21261
776	43360	21205
777	43412	21148
778	43474	21095
779	43538	21043
780	43599	20990
781	43645	20929
782	43698	20872
783	43740	20810
784	43792	20752
785	43849	20697
786	43894	20636
787	43951	20581
788	43998	20521
789	44040	20459
790	44089	20400
791	44138	20341
792	44181	20279
793	44238	20224
794	44295	20169
795	44333	20105
796	44364	20039
797	44410	19979
798	44444	19913
799	44487	19852
800	44537	19794
801	44620	19750
802	44689	19701
803	44729	19638
804	44769	19576
805	44804	19511
806	44859	19455
807	44900	19393
808	44949	19335
809	45006	19280
810	45053	19221
811	45097	19160
812	45146	19102
813	45189	19041
814	45242	18985
815	45289	18926
816	45328	18863
817	45384	18808
818	45440	18753
819	45495	18697
820	45546	18640
821	45603	18585
822	45645	18524
823	45703	18469
824	45753	18412
825	45809	18356
826	45866	18302
827	45926	18248
828	45972	18189
829	46014	18128
830	46063	18070
831	46103	18009
832	46149	17950
833	46194	17890
834	46252	17836
835	46295	17776
836	46328	17712
837	46371	17652
838	46420	17594
839	46469	17536
840	46512	17476
841	46558	17417
842	46600	17357
843	46654	17301
844	46696	17241
845	46742	17183
846	46798	17127
847	46849	17071
848	46898	17013
849	46942	16954
850	46985	16894
851	47060	16846
852	47111	16789
853	47153	16730
854	47198	16671
855	47253	16616
856	47298	16557
857	47343	16498
858	47397	16442
859	47438	16382
860	47488	16325
861	47536	16268
862	47594	16214
863	47638	16155
864	47695	16100
865	47748	16044
866	47804	15990
867	47853	15932
868	47897	15874
869	47955	15819
870	48017	15767
871	48085	15716
872	48146	15662
873	48212	15611
874	48264	15555
875	48329	15502
876	48384	15447
877	48437	15391
878	48491	15336
879	48552	15283
880	48603	15226
881	48652	15169
882	48706	15113
883	48750	15055
884	48805	15000
885	48859	14944
886	48903	14885
887	48955	14829
888	49009	14774
889	49058	14717
890	49098	14657
891	49148	14601
892	49204	14546
893	49261	14491
894	49324	14439
895	49376	14383
896	49434	14328
897	49481	14271
898	49523	14212
899	49584	14159
900	49688	14117
901	49745	14063
902	49797	14007
903	49854	13952
904	49898	13894
905	49943	13836
906	49996	13780
907	50043	13723
908	50101	13668
909	50152	13612
910	50195	13554
911	50252	13499
912	50307	13444
913	50362	13389
914	50419	13334
915	50467	13278
916	50507	13219
917	50555	13161
918	50613	13107
919	50669	13052
920	50719	12996
921	50763	12938
922	50809	12881
923	50860	12825
924	50914	12770
925	50966	12714
926	51018	12658
927	51072	12602
928	51118	12545
929	51174	12491
930	51213	12432
931	51247	12372
932	51309	12318
933	51366	12264
934	51419	12208
935	51478	12154
936	51529	12098
937	51588	12044
938	51625	11985
939	51686	11931
940	51760	11881
941	51817	11826
942	51864	11769
943	51907	11712
944	51954	11655
