iter	RMSE
0	16.52625626
1	15.74219987
2	15.15261936
3	14.67471599
4	14.30977917
5	14.00833013
6	13.76346516
7	13.58367497
8	13.45373815
9	13.32557183
10	13.23290922
11	13.14924376
12	13.0864304
13	13.0336057
14	12.97211291
15	12.90527068
16	12.8607357
17	12.81788614
18	12.78437501
19	12.75334902
20	12.7342508
21	12.70744482
22	12.68413391
23	12.66565767
24	12.6490262
25	12.63443964
26	12.62382318
27	12.60725916
28	12.59194352
29	12.57471077
30	12.55705169
31	12.5494704
32	12.53163785
33	12.51925662
34	12.50204488
35	12.49392512
36	12.48468501
37	12.47108441
38	12.46637716
39	12.45661097
40	12.4490832
41	12.44195296
42	12.43476564
43	12.42756882
44	12.41981372
45	12.41230321
46	12.40521322
47	12.3935279
48	12.38448673
49	12.37721978
50	12.3701318
51	12.36378885
52	12.35145584
53	12.34951299
54	12.34134759
55	12.33001003
56	12.322949
57	12.31862856
58	12.31507338
59	12.30757042
60	12.30108395
61	12.29591244
62	12.28900931
63	12.28276038
64	12.27688157
65	12.27253739
66	12.2690935
67	12.26077778
68	12.2562801
69	12.25046817
70	12.24659425
71	12.23871231
72	12.23242423
73	12.22447719
74	12.21776335
75	12.2140196
76	12.20938343
77	12.20662543
78	12.20172322
79	12.19994973
80	12.19588503
81	12.18980638
82	12.18792
83	12.17819273
84	12.17306273
85	12.16682617
86	12.16283315
87	12.15801229
88	12.15143731
89	12.14192997
90	12.13519577
91	12.13069519
92	12.12733077
93	12.12427122
94	12.11889467
95	12.11092759
96	12.10947487
97	12.10583162
98	12.10088448
99	12.09524313
100	12.09153432
101	12.08833485
102	12.08199493
103	12.07791913
104	12.07181915
105	12.06723524
106	12.06240019
107	12.05862309
108	12.05608998
109	12.05314757
110	12.04876792
111	12.04296399
112	12.03947028
113	12.0318817
114	12.0279528
115	12.02234271
116	12.01934295
117	12.01459311
118	12.01063538
119	12.00663218
120	12.0065967
121	12.00655903
122	12.00348721
123	12.00027442
124	11.99493014
125	11.99231957
126	11.9889871
127	11.98326114
128	11.97957286
129	11.97944716
130	11.97558977
131	11.97406028
132	11.96956254
133	11.96953024
134	11.96527497
135	11.96524586
136	11.96212719
137	11.96202975
138	11.95914067
139	11.95361177
140	11.95352351
141	11.95151298
142	11.94743956
143	11.94487031
144	11.94055295
145	11.93650435
146	11.93446096
147	11.93290626
148	11.92968709
149	11.92488713
150	11.92173578
151	11.92040474
152	11.91527914
153	11.91248955
154	11.91228916
155	11.9078955
156	11.90448317
157	11.90429611
158	11.90096705
159	11.89746638
160	11.89728897
161	11.89310206
162	11.88789576
163	11.88514209
164	11.88497255
165	11.88246203
166	11.88230043
167	11.87940178
168	11.87639461
169	11.87584865
170	11.87570429
171	11.8741867
172	11.87405617
173	11.86707232
174	11.86492336
175	11.86254435
176	11.86030821
177	11.85347359
178	11.85112064
179	11.84765637
180	11.84286378
181	11.84053821
182	11.83761291
183	11.83375309
184	11.82972018
185	11.82809698
186	11.82262941
187	11.81935934
188	11.81570328
189	11.81212026
190	11.80760446
191	11.80525582
192	11.80168484
193	11.79996928
194	11.79777977
195	11.79617772
196	11.79496708
197	11.79297714
198	11.7908849
199	11.78674993
200	11.78586769
201	11.78381732
202	11.78073154
203	11.77751105
204	11.77316242
205	11.77253316
206	11.77174196
207	11.77171662
