iter	Passed	Remaining
401	14278	21239
402	14312	21202
403	14349	21168
404	14382	21129
405	14411	21084
406	14441	21041
407	14475	21003
408	14510	20966
409	14544	20929
410	14576	20889
411	14609	20850
412	14653	20827
413	14688	20790
414	14729	20763
415	14763	20726
416	14799	20691
417	14839	20661
418	14872	20622
419	14905	20583
420	14939	20546
421	14973	20509
422	15005	20469
423	15039	20431
424	15081	20404
425	15120	20374
426	15170	20358
427	15222	20344
428	15257	20307
429	15292	20271
430	15328	20236
431	15359	20195
432	15391	20154
433	15425	20117
434	15460	20080
435	15493	20042
436	15527	20004
437	15558	19963
438	15590	19923
439	15622	19882
440	15654	19843
441	15688	19805
442	15719	19764
443	15751	19724
444	15799	19705
445	15835	19670
446	15873	19638
447	15918	19613
448	15946	19568
449	15978	19529
450	16009	19488
451	16043	19450
452	16079	19416
453	16111	19376
454	16143	19337
455	16175	19296
456	16207	19257
457	16233	19210
458	16262	19167
459	16299	19134
460	16334	19097
461	16367	19060
462	16404	19026
463	16439	18990
464	16473	18953
465	16504	18912
466	16537	18875
467	16573	18839
468	16607	18802
469	16661	18788
470	16700	18756
471	16755	18742
472	16804	18722
473	16861	18710
474	16912	18692
475	16946	18655
476	16987	18626
477	17021	18587
478	17059	18555
479	17098	18523
480	17133	18487
481	17169	18451
482	17216	18427
483	17250	18390
484	17288	18357
485	17323	18321
486	17355	18281
487	17387	18242
488	17419	18203
489	17456	18169
490	17493	18134
491	17526	18096
492	17580	18079
493	17614	18042
494	17647	18004
495	17677	17962
496	17710	17924
497	17745	17888
498	17784	17855
499	17818	17818
500	17854	17782
501	17891	17749
502	17925	17711
503	17957	17672
504	17991	17635
505	18025	17598
506	18062	17563
507	18098	17528
508	18137	17495
509	18173	17460
510	18210	17426
511	18246	17390
512	18283	17356
513	18320	17322
514	18379	17308
515	18418	17276
516	18452	17239
517	18489	17204
518	18524	17168
519	18562	17134
520	18618	17117
521	18651	17079
522	18684	17040
523	18716	17001
524	18751	16966
525	18784	16927
526	18817	16889
527	18849	16850
528	18883	16813
529	18918	16776
530	18952	16739
531	18987	16703
532	19018	16663
533	19053	16627
534	19085	16588
535	19119	16550
536	19151	16512
537	19184	16474
538	19218	16437
539	19250	16398
540	19283	16360
541	19314	16320
542	19347	16282
543	19381	16245
544	19416	16209
545	19446	16169
546	19478	16131
547	19510	16092
548	19541	16053
549	19574	16015
550	19606	15976
551	19639	15939
552	19672	15901
553	19703	15862
554	19738	15826
555	19773	15790
556	19804	15751
557	19831	15709
558	19866	15672
559	19901	15637
560	19931	15596
561	19966	15560
562	20000	15524
563	20033	15487
564	20075	15456
565	20106	15417
566	20139	15379
567	20173	15343
568	20209	15307
569	20241	15269
570	20277	15234
571	20309	15196
572	20343	15159
573	20375	15121
574	20410	15085
575	20442	15048
576	20476	15011
577	20506	14971
578	20540	14935
579	20569	14895
580	20602	14857
581	20638	14822
582	20671	14785
583	20702	14747
584	20746	14717
585	20780	14681
586	20819	14648
587	20854	14612
588	20887	14575
589	20921	14538
590	20955	14502
591	20986	14463
592	21019	14426
593	21053	14389
594	21085	14351
595	21114	14312
596	21147	14275
597	21182	14239
598	21213	14201
599	21247	14164
600	21282	14129
601	21316	14092
602	21342	14051
603	21383	14019
604	21423	13986
605	21459	13952
606	21499	13919
607	21533	13883
608	21568	13847
609	21600	13810
610	21635	13774
611	21666	13736
612	21694	13696
613	21727	13659
614	21760	13622
615	21799	13589
616	21831	13551
617	21861	13513
618	21894	13476
619	21931	13441
620	21965	13405
