iter	RMSE
0	47.69815069
1	47.48735939
2	47.28001497
3	47.07601746
4	46.87358342
5	46.67602242
6	46.48049035
7	46.28697325
8	46.09387868
9	45.90762393
10	45.72227155
11	45.53818904
12	45.35706098
13	45.17958924
14	45.00459397
15	44.83057673
16	44.66042358
17	44.49421975
18	44.32755987
19	44.1631369
20	44.00316074
21	43.84525404
22	43.68874759
23	43.53369128
24	43.38236746
25	43.23407826
26	43.08672672
27	42.94053945
28	42.7980009
29	42.65880202
30	42.51962062
31	42.38223552
32	42.24595713
33	42.11271741
34	41.98359019
35	41.8557892
36	41.72965209
37	41.60584478
38	41.4826793
39	41.36312838
40	41.24110578
41	41.12302811
42	41.00867177
43	40.89001541
44	40.77706113
45	40.66408867
46	40.55471912
47	40.44425157
48	40.33796454
49	40.23290383
50	40.12903204
51	40.02675573
52	39.92598496
53	39.82598887
54	39.72879288
55	39.63240195
56	39.54161222
57	39.44622869
58	39.35162322
59	39.25980774
60	39.1719738
61	39.08283278
62	38.99538704
63	38.9088334
64	38.82600125
65	38.74370104
66	38.66060681
67	38.57933264
68	38.50066536
69	38.42262314
70	38.34409351
71	38.26932423
72	38.19574317
73	38.12003585
74	38.0486597
75	37.97643957
76	37.90699557
77	37.83531421
78	37.7655196
79	37.69746004
80	37.63201434
81	37.56533285
82	37.49887978
83	37.43407794
84	37.37124687
85	37.30732802
86	37.24639202
87	37.18504429
88	37.12639944
89	37.06656227
90	37.00854121
91	36.95122614
92	36.89386347
93	36.83782994
94	36.78414314
95	36.72966714
96	36.67703882
97	36.62345719
98	36.56901123
99	36.51730105
100	36.46538291
101	36.41662942
102	36.36758508
103	36.31847924
104	36.2704034
105	36.22433921
106	36.17902769
107	36.13271896
108	36.08880998
109	36.04470348
110	36.00101039
111	35.9576672
112	35.91673064
113	35.87506902
114	35.83414994
115	35.79103762
116	35.74934927
117	35.70999362
118	35.6712988
119	35.63213031
120	35.59148537
121	35.55559426
122	35.51999471
123	35.47710825
124	35.43183106
125	35.38899899
126	35.34472314
127	35.30195727
128	35.25877248
129	35.21712619
130	35.17547338
131	35.13504001
132	35.09596127
133	35.05647016
134	35.01659371
135	34.9787252
136	34.94135047
137	34.90418761
138	34.86826972
139	34.83298813
140	34.79654297
141	34.76238291
142	34.72893989
143	34.69599655
144	34.66274217
145	34.62962422
146	34.59879653
147	34.56750999
148	34.53609387
149	34.50571892
150	34.47533531
151	34.44537122
152	34.41673939
153	34.38771461
154	34.3593999
155	34.33186295
156	34.30547687
157	34.279467
158	34.25302797
159	34.22724739
160	34.20060658
161	34.17619043
162	34.15078477
163	34.12579388
164	34.10079726
165	34.07687205
166	34.05132565
167	34.02700539
168	34.00236745
169	33.9796719
170	33.95772302
171	33.93481369
172	33.91193664
173	33.8911483
174	33.86928239
175	33.8494674
176	33.82893538
177	33.80857964
178	33.78636378
179	33.7664577
180	33.74577909
181	33.72567269
