iter	RMSE
0	24.31121402
1	24.01507206
2	23.65577127
3	23.42962736
4	23.21357094
5	23.03473729
6	22.8480341
7	22.72189488
8	22.51384411
9	22.32392519
10	22.10810255
11	21.92298333
12	21.83903468
13	21.72068613
14	21.63840964
15	21.48716029
16	21.40748012
17	21.32595833
18	21.28710404
19	21.20863226
20	21.14102307
21	21.08710159
22	21.02491525
23	20.93779422
24	20.89444704
25	20.79277146
26	20.74987732
27	20.68511931
28	20.62406706
29	20.59973063
30	20.56746402
31	20.53575225
32	20.49574464
33	20.44479484
34	20.39187313
35	20.37044482
36	20.33861347
37	20.30332051
38	20.2265738
39	20.21207033
40	20.17762166
41	20.15864843
42	20.12909856
43	20.10418505
44	20.07070783
45	20.02817771
46	20.00736592
47	19.94237765
48	19.92477897
49	19.88083636
50	19.8554537
51	19.80785554
52	19.79274808
53	19.76559725
54	19.72485582
55	19.68035584
56	19.64497231
57	19.63410939
58	19.61196821
59	19.60011155
60	19.58317288
61	19.56442692
62	19.55318267
63	19.51672215
64	19.5088147
65	19.50270671
66	19.48964875
67	19.4765717
68	19.46421269
69	19.45840747
70	19.43576106
71	19.42879728
72	19.42309546
73	19.39462296
74	19.38102814
75	19.37128214
76	19.34889688
77	19.32027037
78	19.29246322
79	19.26902431
80	19.24789775
81	19.20986015
82	19.1893229
83	19.16720954
84	19.14552868
85	19.1177947
86	19.11276982
87	19.10913981
88	19.08887476
89	19.07330001
90	19.05856723
91	19.03408805
92	19.01035311
93	19.00730651
94	18.98970032
95	18.96732596
96	18.94470857
97	18.93748154
98	18.91315941
99	18.90404093
100	18.89168461
101	18.88237396
102	18.87864203
103	18.86553959
104	18.8516597
105	18.82352743
106	18.79918753
107	18.788891
108	18.78339716
109	18.77109645
110	18.7637778
111	18.7451051
112	18.7258855
113	18.72294497
114	18.70946536
115	18.70111658
116	18.68639961
117	18.67735904
118	18.67185409
119	18.66036367
120	18.65269426
121	18.64881628
122	18.64522981
123	18.64483923
124	18.64414076
125	18.63580459
126	18.62889038
127	18.62841702
128	18.62169648
129	18.61623581
130	18.60873098
131	18.60236516
132	18.59770076
133	18.58581405
134	18.58066946
135	18.57184342
136	18.56767878
137	18.566782
138	18.55747831
139	18.55189301
140	18.54621498
141	18.53831539
142	18.53106886
143	18.52070302
144	18.51418095
145	18.5114064
146	18.50760584
147	18.50579296
148	18.50001858
149	18.4950876
150	18.4947838
151	18.49006502
152	18.48736443
153	18.48443623
154	18.48057724
155	18.47824766
156	18.47588936
157	18.46636538
158	18.45091124
159	18.43797396
160	18.43626711
161	18.42573831
162	18.4211168
163	18.42059711
164	18.41947076
165	18.41853301
166	18.39661479
167	18.39626073
168	18.39194881
169	18.38540616
170	18.38036097
171	18.37742079
172	18.36620782
173	18.36230141
174	18.36024601
175	18.35614825
176	18.3355098
177	18.32947445
178	18.32804182
179	18.32665215
180	18.32335321
181	18.32085342
182	18.31652349
183	18.31637314
184	18.31429097
185	18.29499776
186	18.29351326
187	18.27655124
188	18.25560142
189	18.2552132
190	18.24630494
191	18.24387708
192	18.24303382
193	18.23100231
194	18.21326698
195	18.20183299
196	18.19288672
197	18.1845107
198	18.17436369
199	18.1611618
200	18.15183868
201	18.15095829
202	18.15035613
203	18.14833013
204	18.14807576
205	18.14481659
206	18.14430152
207	18.14134627
208	18.13560021
209	18.12018478
210	18.11986773
211	18.11138699
212	18.11116875
213	18.10450172
214	18.10196896
215	18.09864475
216	18.09298638
217	18.09270591
218	18.08158576
219	18.0781296
220	18.07196504
221	18.05880998
222	18.05378235
223	18.05283646
224	18.04862548
225	18.04836355
226	18.04079605
227	18.03493092
228	18.02466078
229	18.02020834
230	18.01997053
231	18.01974989
232	18.01206691
233	18.00948138
234	18.00814108
235	18.00568134
236	18.00360539
237	17.99178307
238	17.9770279
239	17.97337736
240	17.96940608
241	17.96249781
242	17.95534521
243	17.95089019
244	17.94773808
245	17.94205885
246	17.93834194
247	17.93558688
248	17.93122089
249	17.92657957
250	17.9263661
251	17.91683199
252	17.91664018
253	17.91218788
254	17.9037622
255	17.89916643
256	17.89604458
257	17.89480274
258	17.88928663
259	17.8863509
260	17.8856235
261	17.88361539
262	17.88221162
263	17.87887347
264	17.87785397
265	17.8764413
266	17.87486265
267	17.87126861
268	17.86442631
269	17.86260131
270	17.85162418
271	17.84646748
272	17.84302176
273	17.84006
274	17.83566457
275	17.83266857
276	17.8281313
277	17.82559775
278	17.8240483
279	17.81697248
280	17.80869747
281	17.80491499
282	17.8034769
283	17.79798501
284	17.7950151
285	17.78691929
286	17.77509694
287	17.77229162
288	17.7715246
289	17.76721253
290	17.76494563
291	17.76259339
292	17.75982505
293	17.75603311
294	17.75566373
295	17.75390648
296	17.74165774
297	17.73902617
298	17.73502612
299	17.73459997
300	17.73221169
301	17.73065309
302	17.72440225
303	17.72234188
304	17.72189567
305	17.71864818
306	17.71612347
307	17.7146504
308	17.71236299
309	17.70972621
310	17.70475659
311	17.69995627
312	17.69879464
313	17.69847843
314	17.69166554
315	17.68019889
316	17.67728447
317	17.67054008
318	17.67039783
319	17.66679165
320	17.66603372
321	17.66381382
322	17.66223586
323	17.6598934
324	17.65696781
325	17.64589333
326	17.63601636
327	17.63572615
328	17.63376803
329	17.62431078
330	17.62265355
331	17.61935112
332	17.61393733
333	17.6127786
334	17.61061792
335	17.60858274
336	17.60757035
337	17.60411833
338	17.60134378
339	17.59946503
340	17.59808854
341	17.5949962
342	17.59321558
343	17.58596501
344	17.58143096
345	17.5805253
346	17.57734935
347	17.5770551
348	17.57483555
349	17.57238582
350	17.56954533
351	17.56729175
352	17.56505795
353	17.56371758
354	17.5615632
355	17.56093283
356	17.55872125
357	17.55265125
358	17.55004121
359	17.54111186
360	17.53727537
361	17.53281395
362	17.52422711
363	17.524108
364	17.5236323
365	17.52149283
366	17.51721989
367	17.51079346
368	17.50701823
369	17.50494552
370	17.5047746
371	17.50317545
372	17.50006975
373	17.49765056
374	17.49468651
375	17.49106175
376	17.48482338
377	17.48088443
378	17.4798646
379	17.4781692
380	17.47623576
381	17.47397904
382	17.47235517
383	17.46970994
384	17.46837362
385	17.46793742
386	17.46466949
387	17.46408009
388	17.46249146
389	17.46131999
390	17.45641708
391	17.45213913
392	17.45193005
393	17.45132075
394	17.45109488
395	17.45071658
396	17.44954436
397	17.44806176
398	17.44640212
399	17.44403007
400	17.44375063
401	17.44355728
402	17.44040822
403	17.43919629
404	17.4329395
405	17.43075608
406	17.43067617
407	17.42932877
408	17.4231937
409	17.42055685
410	17.41572376
411	17.40849109
412	17.40728208
413	17.40305438
414	17.40189502
415	17.39829179
416	17.39539032
417	17.39219804
418	17.38766047
419	17.3869196
420	17.38396345
421	17.3833658
422	17.3833646
423	17.37892765
424	17.37744455
425	17.36839724
426	17.36694009
427	17.36098309
428	17.36091686
429	17.35752173
430	17.35681665
431	17.35427493
432	17.35333669
433	17.35050153
434	17.34787991
435	17.34772866
436	17.34713543
437	17.34680186
438	17.345833
439	17.34567253
440	17.34391775
441	17.34176076
442	17.33920988
443	17.33682866
444	17.3357676
445	17.33049778
446	17.32936252
447	17.32555482
448	17.32318486
449	17.32238817
450	17.31642985
451	17.30888297
452	17.30772217
453	17.30439774
454	17.30207454
455	17.29871172
456	17.29366033
457	17.29055273
458	17.28964224
459	17.2884748
460	17.28564586
461	17.28502234
462	17.2844019
463	17.28110679
464	17.28067004
465	17.27838777
466	17.27636735
467	17.27451693
468	17.27210979
469	17.27044384
470	17.26956526
471	17.26839503
472	17.26718645
473	17.26521984
474	17.2637723
475	17.26154361
476	17.26080669
477	17.26056442
478	17.25873908
479	17.25750628
480	17.25427375
481	17.25255125
482	17.24798763
483	17.24611149
484	17.24591909
485	17.23305382
486	17.23115765
487	17.22993961
488	17.22871085
489	17.22741994
490	17.22727058
491	17.22686787
492	17.22434206
493	17.2189167
494	17.2135122
495	17.21254604
496	17.20927233
497	17.20687161
498	17.2042689
499	17.2021356
500	17.20213327
501	17.20099312
502	17.19921004
503	17.19703326
504	17.19527413
505	17.18960499
